num_of_topics,coherence_values
1,0.39963205955868186
2,0.3299102872731582
3,0.3369249381597126
4,0.4101173511220339
5,0.41058396851180934
6,0.42432249667151717
7,0.3979729659580841
8,0.41065551822018886
9,0.38158104316954544
