num_of_topics,coherence_values
1,0.39963205955868186
2,0.4290627285745141
3,0.43788901157209087
4,0.3946410992594207
5,0.38108605874897405
6,0.44905201429453717
7,0.4213249648795104
8,0.41813549617556317
9,0.39284632932260927
10,0.39162429920966074
